Date of analysis,Country,Total country population,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Feb 2017,HTI,10906004,2017-02-01,2017-05-31,7555113,2347103,0.31,1732455,0.23,3475555,0.46,1689421,0.22,657682,0.09,0,0,2017-06-01,2017-09-30,7555113,379780,0.05,1250456,0.17,2303078,0.3,379780,0.05,0,0,0,0,,,,,,,,,,,,,,,
Jul 2024,KEN,52428000,2024-07-01,2024-09-30,16617000,937222,0.05,9881614,0.6,5798165,0.35,894555,0.05,42667,0,0,0,2024-10-01,2025-01-31,16617000,1732866,0.11,8799925,0.53,6084209,0.36,1634828,0.1,98038,0.01,0,0,,,,,,,,,,,,,,,
Feb 2024,KEN,52428000,2024-02-01,2024-03-31,16617000,1931900,0.12,9150350,0.55,5534750,0.33,1631950,0.1,299950,0.02,0,0,2024-04-01,2024-06-30,16617000,1223500,0.07,10036750,0.6,5356750,0.32,1197750,0.07,25750,0,0,0,,,,,,,,,,,,,,,
Jul 2023,KEN,51525602,2023-07-01,2023-09-30,16617000,2786550,0.17,7423500,0.44,6406950,0.39,2287350,0.14,499200,0.03,0,0,2023-10-01,2024-01-31,16617000,1524350,0.09,7574900,0.45,7517750,0.45,1258750,0.08,265600,0.02,0,0,,,,,,,,,,,,,,,
Jan 2023,KEN,51525602,2023-02-01,2023-02-28,16618409,4389779,0.27,6161857,0.37,6066774,0.37,3615790,0.22,773989,0.05,0,0,2023-03-01,2023-06-30,16618409,5438215,0.32,5275006,0.32,5905188,0.36,4213529,0.25,1224686,0.07,0,0,,,,,,,,,,,,,,,
Jul 2022,KEN,54986000,2022-07-01,2022-09-30,14834569,3513305,0.24,6271990,0.42,5049274,0.34,2728089,0.18,785216,0.05,0,0,2022-10-01,2022-12-31,14834569,4354545,0.29,5370418,0.36,5109606,0.34,3142733,0.21,1211812,0.08,0,0,,,,,,,,,,,,,,,
Apr 2022,KEN,54986000,,,,,,,,,,,,,,,,2022-03-01,2022-06-30,15152179,4102255,0.27,5961984,0.39,5087940,0.34,3002100,0.2,1100155,0.07,0,0,,,,,,,,,,,,,,,
Feb 2022,KEN,54986000,2022-02-01,2022-02-28,15152179,3071637,0.2,7181659,0.47,4898883,0.32,2546276,0.17,525361,0.03,0,0,2022-03-01,2022-06-30,15152179,3486109,0.23,6423273,0.42,5242796,0.35,2728313,0.18,757796,0.05,0,0,,,,,,,,,,,,,,,
Jul 2021,KEN,54986000,2021-07-01,2021-10-31,15152179,2147839,0.14,7686749,0.51,5317592,0.35,1793206,0.12,354633,0.02,0,0,2021-11-01,2022-01-31,15152179,2366237,0.16,7544468,0.5,5241474,0.35,1998688,0.13,367549,0.02,0,0,,,,,,,,,,,,,,,
Feb 2021,KEN,54986000,2021-02-01,2021-02-28,15414269,1425209,0.1,8755331,0.57,5233729,0.34,1186654,0.08,238555,0.02,0,0,2021-03-01,2021-05-31,15414269,2008394,0.13,7848015,0.51,5557860,0.36,1769839,0.11,238555,0.02,0,0,,,,,,,,,,,,,,,
Aug 2020,KEN,53771000,2020-08-01,2020-09-30,17909824,1809894,0.1,10079283,0.56,6020647,0.34,1499129,0.08,310764,0.02,0,0,2020-10-01,2020-12-31,17910343,1883258,0.1,9694703,0.54,6332382,0.35,1483728,0.08,399530,0.02,0,0,,,,,,,,,,,,,,,
Feb 2020,KEN,53771000,2020-02-01,2020-03-31,15152176,1319383,0.09,10087590,0.66,3745180,0.25,1022662,0.07,296721,0.02,0,0,2020-04-01,2020-07-31,15152176,984534,0.07,10698259,0.7,3469354,0.23,871856,0.06,112678,0.01,0,0,,,,,,,,,,,,,,,
Jul 2019,KEN,52574000,2019-07-01,2019-07-31,13881444,2567437,0.18,4757639,0.34,6556368,0.47,2269510,0.16,297927,0.02,0,0,2019-08-01,2019-10-31,13881444,3096614,0.23,4768703,0.34,6016127,0.43,2739331,0.2,357283,0.03,0,0,,,,,,,,,,,,,,,
Mar 2024,LBN,5574488,,,,,,,,,,,,,,,,2024-04-01,2024-09-30,5574488,1260931,0.23,1849760,0.33,2463797,0.44,1175520,0.21,85411,0.02,0,0,,,,,,,,,,,,,,,
Oct 2023,LBN,5575680,2023-10-01,2024-03-31,5574500,1049957,0.19,1894920,0.34,2629623,0.47,976190,0.18,73767,0.01,0,0,2024-04-01,2024-09-30,5574488,1143368,0.2,1881822,0.34,2549299,0.46,1079246,0.19,64122,0.01,0,0,,,,,,,,,,,,,,,
May 2023,LBN,5800000,2023-05-01,2023-10-31,5575680,1411549,0.25,1629716,0.29,2534415,0.46,1299764,0.23,111785,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2022,LBN,5800000,2022-09-01,2022-12-31,5364000,1984000,0.37,962000,0.18,2419000,0.45,1678000,0.31,306000,0.06,0,0,2023-01-01,2023-04-30,5364000,2260000,0.42,961000,0.18,2143000,0.4,1906000,0.35,354000,0.07,0,0,,,,,,,,,,,,,,,
Mar 2023,LBR,4799779,,,,,,,,,,,,,,,,2023-06-01,2023-08-31,4799779,531268,0.11,2883503,0.6,1385008,0.29,509913,0.11,21354,0,0,0,,,,,,,,,,,,,,,
Oct 2022,LBR,4799779,2022-10-01,2022-12-31,4799779,373230,0.08,3406982,0.71,1019566,0.21,365748,0.08,7483,0,0,0,2023-06-01,2023-08-31,4799779,531268,0.11,2883503,0.6,1385008,0.29,509913,0.11,21354,0,0,0,,,,,,,,,,,,,,,
Mar 2021,LBR,5170000,2021-03-01,2021-05-31,4714178,772873,0.16,2541792,0.54,1399513,0.3,672602,0.14,100272,0.02,0,0,2021-06-01,2021-08-31,4714178,939381,0.19,2264674,0.48,1510122,0.32,776050,0.16,163331,0.03,0,0,,,,,,,,,,,,,,,
Oct 2020,LBR,5170000,2020-10-01,2020-12-31,4568298,450736,0.1,3003824,0.66,1113739,0.24,405076,0.09,45659,0.01,0,0,2021-06-01,2021-08-31,4568298,554037,0.12,2482143,0.54,1532118,0.34,510820,0.11,43217,0.01,0,0,,,,,,,,,,,,,,,
May 2024,LSO,2208490,2024-05-01,2024-09-30,1505411,292866,0.19,665045,0.44,547500,0.36,292866,0.19,0,0,0,0,2024-10-01,2025-03-31,1505411,402757,0.27,559568,0.37,543086,0.36,373940,0.25,28818,0.02,0,0,,,,,,,,,,,,,,,
Jul 2023,LSO,2116424,2023-07-01,2023-09-30,1495243,245081,0.16,744548,0.5,505613,0.34,245081,0.16,0,0,0,0,2023-10-01,2024-03-31,1495243,324847,0.22,627167,0.42,543229,0.36,324847,0.22,0,0,0,0,,,,,,,,,,,,,,,
Jun 2022,LSO,2104715,2022-07-01,2022-09-30,1485145,228503,0.15,761171,0.51,495471,0.33,228503,0.15,0,0,0,0,2022-10-01,2023-03-31,1485145,319429,0.22,654668,0.44,511048,0.34,319429,0.22,0,0,0,0,,,,,,,,,,,,,,,
Nov 2021,LSO,2100000,2021-11-01,2021-12-31,1475113,328424,0.22,609763,0.41,536926,0.36,311868,0.21,16556,0.01,0,0,2022-01-01,2022-03-31,1475113,337511,0.23,609763,0.41,527840,0.36,311868,0.21,25643,0.02,0,0,,,,,,,,,,,,,,,
Jun 2021,LSO,2100000,2021-07-01,2021-09-30,1475113,178694,0.12,719106,0.49,577313,0.39,178694,0.12,0,0,0,0,2021-10-01,2022-03-31,1475113,311868,0.21,601962,0.41,561283,0.38,311868,0.21,0,0,0,0,,,,,,,,,,,,,,,
